date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:51:19	26004/26004	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Sep%202019%2010:47:17%20GMT	https://www.nexosperu.com.pe/wp-content/uploads/2018/12/noticia-00c04.jpg	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-content/uploads/2018/12/noticia-00c04.jpg	(from https://www.nexosperu.com.pe/innovador-modulo-de-vivienda-es-finalista-en-concurso-de-history-channel/)
08:51:20	3112/3112	---MC-	200	added ('OK')	application/json	date:Mon,%2025%20May%202020%2013:51:19%20GMT	https://www.nexosperu.com.pe/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.nexosperu.com.pe%2Fcompania-que-cuenta-con-el-respaldo-de-mas-de-diez-anos-de-labor-en-el-sector-a-traves-de-la-colocacion-de-numerosos-refugios%2F	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-json/oembed/1.0/embed8fc9.json	(from https://www.nexosperu.com.pe/compania-que-cuenta-con-el-respaldo-de-mas-de-diez-anos-de-labor-en-el-sector-a-traves-de-la-colocacion-de-numerosos-refugios/)
08:51:21	3247/3247	---MC-	200	added ('OK')	text/xml	date:Mon,%2025%20May%202020%2013:51:19%20GMT	https://www.nexosperu.com.pe/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.nexosperu.com.pe%2Fcompania-que-cuenta-con-el-respaldo-de-mas-de-diez-anos-de-labor-en-el-sector-a-traves-de-la-colocacion-de-numerosos-refugios%2F&format=xml	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-json/oembed/1.0/embed5fac	(from https://www.nexosperu.com.pe/compania-que-cuenta-con-el-respaldo-de-mas-de-diez-anos-de-labor-en-el-sector-a-traves-de-la-colocacion-de-numerosos-refugios/)
08:51:22	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2018%20Nov%202017%2023:31:56%20GMT	https://www.nexosperu.com.pe/wp-content/plugins/revslider/public/assets/fonts/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-content/plugins/revslider/public/assets/fonts/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from https://www.nexosperu.com.pe/wp-content/plugins/revslider/public/assets/fonts/font-awesome/css/font-awesome.css)
08:51:22	203772/203772	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Sep%202019%2010:47:31%20GMT	https://www.nexosperu.com.pe/wp-content/uploads/2018/12/noticia-00b03.jpg	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-content/uploads/2018/12/noticia-00b03.jpg	(from https://www.nexosperu.com.pe/compania-que-cuenta-con-el-respaldo-de-mas-de-diez-anos-de-labor-en-el-sector-a-traves-de-la-colocacion-de-numerosos-refugios/)
08:51:22	77160/77160	---M--	200	added ('OK')	font/woff2	date:Sat,%2018%20Nov%202017%2023:31:56%20GMT	https://www.nexosperu.com.pe/wp-content/plugins/revslider/public/assets/fonts/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-content/plugins/revslider/public/assets/fonts/font-awesome/fonts/fontawesome-webfont3e6e.woff2	(from https://www.nexosperu.com.pe/wp-content/plugins/revslider/public/assets/fonts/font-awesome/css/font-awesome.css)
08:51:23	98024/98024	---M--	200	added ('OK')	font/x-woff	date:Sat,%2018%20Nov%202017%2023:31:56%20GMT	https://www.nexosperu.com.pe/wp-content/plugins/revslider/public/assets/fonts/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-content/plugins/revslider/public/assets/fonts/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from https://www.nexosperu.com.pe/wp-content/plugins/revslider/public/assets/fonts/font-awesome/css/font-awesome.css)
08:51:23	165548/165548	---M--	200	added ('OK')	font/ttf	date:Sat,%2018%20Nov%202017%2023:31:56%20GMT	https://www.nexosperu.com.pe/wp-content/plugins/revslider/public/assets/fonts/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-content/plugins/revslider/public/assets/fonts/font-awesome/fonts/fontawesome-webfont3e6e.ttf	(from https://www.nexosperu.com.pe/wp-content/plugins/revslider/public/assets/fonts/font-awesome/css/font-awesome.css)
08:51:23	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2018%20Nov%202017%2023:31:56%20GMT	https://www.nexosperu.com.pe/wp-content/plugins/revslider/public/assets/fonts/font-awesome/fonts/fontawesome-webfont.eot?	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-content/plugins/revslider/public/assets/fonts/font-awesome/fonts/fontawesome-webfontd41d.eot	(from https://www.nexosperu.com.pe/wp-content/plugins/revslider/public/assets/fonts/font-awesome/css/font-awesome.css)
08:51:25	444379/444379	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2018%20Nov%202017%2023:31:56%20GMT	https://www.nexosperu.com.pe/wp-content/plugins/revslider/public/assets/fonts/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-content/plugins/revslider/public/assets/fonts/font-awesome/fonts/fontawesome-webfont3e6e.svg	(from https://www.nexosperu.com.pe/wp-content/plugins/revslider/public/assets/fonts/font-awesome/css/font-awesome.css)
